"Grouping Variable/N";AAR(-10);AAR(-9);AAR(-8);AAR(-7);AAR(-6);AAR(-5);AAR(-4);AAR(-3);AAR(-2);AAR(-1);AAR(0);AAR(1);AAR(2);AAR(3);AAR(4);AAR(5);AAR(6);AAR(7);AAR(8);AAR(9);AAR(10)
Addition;0.017035269147565;-0.0013031103055923;-0.0014856286359748;0.010388245061371;0.003979301958771;0.0033349750305503;-0.00096819836586415;0.0042262091009851;-0.00029726542327953;-0.010179956938855;-0.0044155233570766;0.062430846078321;0.016526059396328;0.01240464632173;0.013201180354455;0.028518909180551;-0.0046574234218907;0.009481637956017;0.011415859053482;-0.0060993528576283;-0.0043333037640857
"N(Addition, AAR(i))";15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"Pos:Neg(Addition, AAR(i))";13:2;8:7;8:7;10:5;8:7;9:6;6:9;10:5;8:7;5:10;7:8;15:0;9:6;10:5;8:7;10:5;7:8;10:5;8:7;6:9;6:9
"Patell Z";1.8781826801739;0.11177392870201;-0.38189512698657;0.92992795841681;1.1859807268289;0.054374864726869;0.11283333035478;0.2713548573683;0.087141344961722;-1.4830897903827;-0.89299953899259;9.9863677088954;1.7463203681962;1.9864088862125;1.9974194151394;3.141152311734;-0.55548058897483;0.6765602965544;0.70321152431954;-1.0675366365994;-0.44905496905621
"Generalized Sign Z";2.8015980371607;0.21948003056098;0.21948003056098;1.2523272332009;0.21948003056098;0.73590363188093;-0.81336717207892;1.2523272332009;0.21948003056098;-1.3297907733989;-0.29694357075897;3.8344452398006;0.73590363188093;1.2523272332009;0.21948003056098;1.2523272332009;-0.29694357075897;1.2523272332009;0.21948003056098;-0.81336717207892;-0.81336717207892
"Csect T";3.7758725192953;-0.23230152819093;-0.2848281428772;2.1968553241982;0.63889770170724;0.64968934655475;-0.17328279531819;0.63503471576069;-0.041622330061718;-1.8963425139453;-0.60153175442308;4.9418707364818;1.9155266854672;1.7039223342417;1.1694518281626;1.6573386263768;-0.57156962849946;1.5018158158597;1.5660623224869;-0.77664659698503;-0.9031277576083
"StdCSect Z";2.8864566937742;0.16941374674162;-0.48693807629026;1.3808269437612;1.086914479152;0.096246622000993;0.16682178588708;0.34071934717571;0.1083309286981;-2.0440022352173;-0.74697206551375;2.4921014702115;1.3160720435525;1.6417687761577;1.6249900864051;1.7752125666219;-0.56685715842503;1.1010282038587;0.82828050669403;-1.3661596732666;-0.74805817750407
"Rank Z";2.1883735261022;-0.11181470571325;-0.30349705836453;1.2299617628457;0.17570882326368;0.19168235265128;-0.21298039183476;0.48453039142408;0.047920588162821;-1.5387833310062;-0.45258333264887;4.6323235224061;1.4429421546805;1.4482666644764;0.98503431223577;1.6772205856987;-0.6016696069332;0.78802744978862;0.61764313632081;-0.93711372407295;-0.6708882342795
"Generalized Rank T";3.0705111555763;-0.082142652153022;-0.30094578902848;1.8030469035101;0.35517766230884;0.53286866164285;-0.14378213948318;0.8277372559192;0.19841414809995;-1.7243029626808;-0.47203218196826;2.5597895953945;1.5595020149048;1.5256879911131;1.1366557172949;1.5446279058822;-0.52659767682759;1.2374837144611;0.80716086357845;-0.97780838416712;-0.9525704418698
"Adjusted Patell Z";1.8676054854952;0.11114446138961;-0.37974444209972;0.92469096568057;1.1793017444459;0.054068646627896;0.11219789690413;0.2698266923055;0.086650598784602;-1.4747376052601;-0.88797051275799;9.9301283683319;1.7364857707947;1.9752222036161;1.9861707255247;3.1234625630915;-0.55235233825041;0.67275017198871;0.6992513104002;-1.0615246852854;-0.44652606604836
"Adjusted StdCSect Z";2.8690366674662;0.1683913195105;-0.48399936111132;1.3724935286994;1.080354852305;0.095665764962351;0.16581500137333;0.33866307520591;0.10767714177937;-2.0316664974985;-0.74246402177256;2.4770614132216;1.3081294301499;1.6318605536183;1.6151831247706;1.7644989987795;-0.56343612438217;1.094383399411;0.82328175918186;-1.3579147765042;-0.74354357897912
"Generalized Rank Z";3.3117112938765;-0.088706552514549;-0.32525735922001;1.9441519426105;0.38439506089638;0.57659259134457;-0.15523646690046;0.89445773785503;0.21437416857683;-1.8628376028055;-0.51006267695866;2.7720797660797;1.6854244977764;1.6484634342287;1.2271073097846;1.6706400723573;-0.56920037863502;1.3379905004278;0.8722810997264;-1.057086417465;-1.0275175666269
"Skewness Corrected T";2.9034183708436;-0.23512172411527;-0.29836561240155;1.9416723859238;0.6813956477746;0.63502938004771;-0.19006362508292;0.54729800613927;-0.03428957782739;-1.9830380243873;-0.66602719027078;12.170880307649;1.9628692309867;1.8526840342527;1.3097830027908;2.6347280956222;-0.61898413754912;1.8000557771072;1.7981504049846;-0.79008030242614;-0.88607555245756
